INC,FIX_A
30000,150
38000,150
10000,150
60000,198
45000,198
180000,13
210000,13
120000,75
240000,75
100000,3
40000,216
30000,216
42000,120.8
42000,120.8
31500,12
50000,12
30000,150
9600,20
300000,164
70000,70
23000,210
100000,210
18300,12.5
18300,12.5
29700,13
12000,5
55000,5
12000,5
12000,5
1000,270
2300,157
150000,400050
150000,400050
150000,400050
235000,13
3000,116.99998
0,100
54000,100
65000,389.99994
105000,389.99994
36000,10
50000,10
250000,209.99994
38000,85
0,70
80000,121.00002
12000,80
36000,150
32400,150
44400,130.00003
21600,130.00003
120000,81.300003
68000,81.300003
200000,320.00006
120000,320.00006
30000,20
210000,229.99992
165000,229.99992
120000,110
50000,.5
50000,100
85000,120
30000,180
50000,180
29000,202
54400,170
75000,175
45000,23
80000,180
16640,180
70000,187.5
65000,187.5
24000,380.00006
120000,380.00006
108000,380.00006
30000,150
26000,102
3000,120
80000,170
46000,170
203750,1000095
203750,1000095
203750,1000095
15,175
15,175
15,175
26000,180
26200,180
29600,12
32000,210
0,10
32000,198
24000,217.8
44200,217.8
27600,192
30000,192
22800,300
110000,280
20400,216.5
40500,15
5000,30
70000,80.000015
70000,80.000015
28500,.5
24500,67.199997
20000,150
27600,175
12000,175
0,30
0,30
4000,204
110000,100
23600,387
37000,24
21100,24
38000,182
0,21
52500,21
70000,21
30000,80
25000,80
40000,80
41500,120
10000,7
40000,7
60000,150.00003
110000,150.00003
44970,50051
29000,6
450000,50054
450000,50054
450000,50054
450000,50054
450000,50054
10700,2
24000,100
50000,166
0,100
72000,300.5
84000,.5
13000,4.5
20000,4.5
32400,45.000008
33000,45.000008
36000,45.000008
4800,80
21000,25
64000,45
39200,45
34200,100
250000,100
40000,150100
76000,150100
40000,150100
40000,150100
2,0
2,0
2,0
60002,0
90000,150
20000,150
20000,150
40000,175.5
75000,40
62000,40
27300,70
100000,110
60000,102.99998
100000,102.99998
14600,30
60000,110.00002
100000,100.00001
100000,100.00001
24000,204.5
48000,204.5
45000,12
40000,12
48000,7
48000,7
50200,50
65000,8
110000,8
60000,10
200000,500313
200000,500313
120000,314
150000,314
46000,310
100000,17
50000,30
132000,150
42000,150
55000,170
82000,170
180000,400
38000,400
14400,77
0,18.5
0,18.5
0,180
90000,15
70000,15
140000,120
110000,120
60000,257
60000,253
170000,253
60000,518
100000,180
55000,400
200000,540
200000,540
150000,150025
150000,150025
83000,13
200000,312
140000,312
400000,370
18000,35
5,6
5,6
5,6
65000,3
70000,3
84000,310
180000,402.5
51600,402.5
200000,8
12000,8
1150000,300010
60000,500
85000,200
117500,200
85000,316
82000,316
40000,56
42400,56
70000,300
210000,25
17400,25
15000,310
25800,310
25800,310
28000,400
20000,300
20000,300
12000,300
24000,300
20000,300
200000,299.99994
11000,299.99994
44000,290
50000,290
35000,300
350000,300
5844,233
150000,402.00006
2500,80
55000,310
70000,310
48000,305
40000,83
180000,18
0,1
0,1
50000,98
60000,98
70000,203
58000,203
20200,150
36000,200
26000,150
60000,216
275000,400.00006
330000,400.00006
15000,40
30000,40
40000,56
42400,56
80000,14
60000,14
60000,299.99994
60000,299.99994
70000,200
60000,244.99992
150000,244.99992
5000,115
150000,90
0,90
200000,259.99994
65000,259.99994
14400,200
60000,106.5
26200,185
30000,185
100000,208
50000,208
5000,100
5000,100
5000,100
5000,100
53000,100
60000,162
60000,162
24000,99
90000,326.99994
105000,326.99994
116000,1.5
150000,279
150000,279
150000,279
52000,9
115000,280
60000,157
60000,112
116000,5
50000,164
100000,164
80000,140
100000,180
0,180
16000,12
60000,12
1160,70
136000,211
96000,211
200000,27
180000,27
100000,250
80000,250
150000,100130
150000,100130
10000,.1
28000,15.5
14400,.0099999998
14400,.0099999998
0,23
28000,4
20000,4
60000,90
60000,90
40,160.00003
120040,160.00003
65640,160.00003
42000,6
38400,6
14100,75
4850,15
150000,19
5000,90
4000,90
2.4000001,.44999999
26000,144
50000,108
25000,108
26000,60
7,.2
7,.2
400,525
400,525
46000,180
44000,180
200000,4000153
236000,4000153
111050,20
80050,20
50,20
60000,101
60000,152.2
60000,152.2
20000,60
3500,60
26000,60
3.5999999,6
3.5999999,6
30003.6,6
54000,70
60000,70
21900,40
500000,7000010
500000,7000010
500000,7000010
200000,207
200000,207
50000,136
25000,136
19200,101.5
60000,100
45600,98
31200,98
15000,80
33240,91.599998
42000,78.345383
60000,78.345383
18000,100
74800,80
33000,80
30000,90
30000,90
48600,86
56000,86
20000,65
14840,56.459999
52000,56.459999
15000,98
25000,98
0,88.339996
40000,88.339996
17400,90
65000,90
65000,5
19200,5
18000,96.199997
40000,96.199997
40000,100
36000,100
50000,90
50000,90
48000,100.5
30000,100
30000,9
39600,9
10,8.75
10,8.75
10,8.75
10,8.75
50000,100090
50000,100090
50000,100090
40000,90
0,60
42000,80
156000,80
36000,99
18000,99
2250,4
34600,4
24000,70
20000,70
27600,90
6360,90
36000,50
2400,36
2500,36
29100,47
36000,47
16000,5
30000,5
40000,120
52500,100
12000,100
.30000001,0
.30000001,0
60100,70
64000,70
80000,30020
80000,30020
80000,30020
36,6.4000001
36,6.4000001
36,6.4000001
35000,150000.5
35000,150000.5
35000,150000.5
35000,150000.5
35000,150000.5
3000,54
3000,54
24000,51
10,20
10,20
160010,20
10,20
5,4
5,4
5,4
5500,132
5500,132
5500,132
5500,132
30000,125
13,115
45000,9.5
13000,9.5
14000,35
12000,35
63600,8
12000,56
20000,60047
42800,60047
20000,60047
20000,60047
13000,70
2500,50
42000,40
30000,60
14400,20
40000,68
0,68
14400,35
24700,30
12000,55
20000,5
22800,77
0,30
0,30
1500,60
200,645.00006
200,645.00006
200,645.00006
200,645.00006
200,645.00006
40000,50
60000,50
15000,30
20000,30
34000,55
34000,55
44000,100.00002
44000,100.00002
100000,75
100000,75
126000,154.99994
90000,154.99994
30000,70
51000,68
50000,5
100000,5
90000,273.00006
134400,273.00006
21600,40
21600,40
10000,25.5
15600,11
